+----------------------+------------+----------------------+
| Token                | Type       | Line                 |
| LITERAL_STRING       | 63         | "test"               |
| OPERATOR             | 63         | <<                   |
| KEYWORD              | 63         | endl                 |
| PUNCTUATION          | 63         | ;                    |
| PUNCTUATION          | 64         | }                    |
| PUNCTUATION          | 65         | }                    |
| PUNCTUATION          | 65         | ;                    |
| KEYWORD              | 68         | void                 |
| IDENTIFIER           | 68         | greetUser            |
| PUNCTUATION          | 68         | (                    |
| PUNCTUATION          | 68         | )                    |
| PUNCTUATION          | 68         | ;                    |
| KEYWORD              | 69         | int                  |
| IDENTIFIER           | 69         | add                  |
| PUNCTUATION          | 69         | (                    |
| KEYWORD              | 69         | int                  |
| IDENTIFIER           | 69         | a                    |
| PUNCTUATION          | 69         | ,                    |
| KEYWORD              | 69         | int                  |
| IDENTIFIER           | 69         | b                    |
| PUNCTUATION          | 69         | )                    |
| PUNCTUATION          | 69         | ;                    |
| KEYWORD              | 70         | int                  |
| IDENTIFIER           | 70         | factorial            |
| PUNCTUATION          | 70         | (                    |
| KEYWORD              | 70         | int                  |
| IDENTIFIER           | 70         | n                    |
| PUNCTUATION          | 70         | )                    |
| PUNCTUATION          | 70         | ;                    |
| KEYWORD              | 72         | int                  |
| KEYWORD              | 72         | main                 |
| PUNCTUATION          | 72         | (                    |
| PUNCTUATION          | 72         | )                    |
| PUNCTUATION          | 72         | {                    |
| IDENTIFIER           | 73         | Student              |
| IDENTIFIER           | 73         | user                 |
| PUNCTUATION          | 73         | ;                    |
| KEYWORD              | 75         | int                  |
| IDENTIFIER           | 75         | num1                 |
| PUNCTUATION          | 75         | ,                    |
| IDENTIFIER           | 75         | num2                 |
| PUNCTUATION          | 75         | ;                    |
| IDENTIFIER           | 76         | greetUser            |
| PUNCTUATION          | 76         | (                    |
| PUNCTUATION          | 76         | )                    |
| PUNCTUATION          | 76         | ;                    |
| IDENTIFIER           | 78         | user                 |
| PUNCTUATION          | 78         | .                    |
| IDENTIFIER           | 78         | inputName            |
| PUNCTUATION          | 78         | (                    |
| PUNCTUATION          | 78         | )                    |
| PUNCTUATION          | 78         | ;                    |
| IDENTIFIER           | 79         | user                 |
| PUNCTUATION          | 79         | .                    |
| IDENTIFIER           | 79         | greet                |
| PUNCTUATION          | 79         | (                    |
| PUNCTUATION          | 79         | )                    |
| PUNCTUATION          | 79         | ;                    |
| KEYWORD              | 82         | int                  |
| IDENTIFIER           | 82         | roll                 |
| PUNCTUATION          | 82         | ;                    |
| KEYWORD              | 83         | cout                 |
| OPERATOR             | 83         | <<                   |
| LITERAL_STRING       | 83         | "Enter your roll number: " |
| PUNCTUATION          | 83         | ;                    |
| KEYWORD              | 84         | cin                  |
| OPERATOR             | 84         | >>                   |
